N 125, L 5.000000, rho 1.0
Ecin	Epot	H
276.828486	-608.394414	-1.561542
271.767957	-603.333475	-1.545822
266.695259	-598.259568	-1.539915
262.115700	-593.680217	-1.545743
258.352844	-589.917308	-1.543538
255.533447	-587.097522	-1.519524
253.707213	-585.270862	-1.522033
252.981949	-584.545713	-1.524408
253.598732	-585.161398	-1.503457
255.808890	-587.370633	-1.520142
259.521306	-591.085116	-1.539931
264.042389	-595.609168	-1.536685
268.287521	-599.856597	-1.544495
271.317470	-602.886625	-1.559461
272.741865	-604.309420	-1.561131
272.747466	-604.313746	-1.538762
271.828222	-603.393281	-1.547738
270.466423	-602.030979	-1.540249
268.983019	-600.547428	-1.540588
267.527682	-599.091246	-1.549963
266.144570	-597.709612	-1.530237
264.840765	-596.404718	-1.540501
263.648793	-595.214079	-1.524888
262.634045	-594.199305	-1.521964
261.913791	-593.478725	-1.537852
261.836083	-593.399226	-1.549320
263.149001	-594.709410	-1.536368
266.536690	-598.097259	-1.548347
271.748280	-603.312412	-1.584741
277.452201	-609.020640	-1.580291
281.985077	-613.557103	-1.581102
284.037436	-615.610859	-1.578861
282.907507	-614.480888	-1.575938
278.629661	-610.201047	-1.566730
272.086612	-603.653466	-1.538962
264.885818	-596.449618	-1.510821
258.713193	-590.273724	-1.517240
254.545765	-586.106578	-1.499442
252.531483	-584.093065	-1.518403
252.554471	-584.115401	-1.508341
254.605530	-586.166998	-1.516475
258.598388	-590.160961	-1.532969
264.068184	-595.632445	-1.560709
270.224789	-601.791033	-1.566790
276.220628	-607.788684	-1.562800
281.411061	-612.980220	-1.574311
285.611849	-617.180016	-1.585591
289.262535	-620.827990	-1.597946
293.147008	-624.710726	-1.595119
297.715811	-629.280540	-1.614360
302.641869	-634.208519	-1.618570
306.997629	-638.566988	-1.621621
309.683173	-641.255217	-1.634297
309.774709	-641.347317	-1.631770
306.796908	-638.369256	-1.630463
300.880969	-632.451532	-1.610142
292.713515	-624.281750	-1.581486
283.442673	-615.008227	-1.576292
274.547315	-606.107938	-1.549071
267.562232	-599.120376	-1.562983
263.524580	-595.083088	-1.550285
262.487510	-594.049118	-1.552010
263.619221	-595.182810	-1.535775
265.854897	-597.419807	-1.524445
268.477820	-600.044321	-1.546319
271.139126	-602.705682	-1.572622
273.496024	-605.064263	-1.572871
275.114914	-606.683870	-1.577958
275.721885	-607.291112	-1.587622
275.444720	-607.011954	-1.565406
274.808986	-606.374179	-1.588684
274.496710	-606.060117	-1.568469
274.916314	-606.480075	-1.557000
275.914979	-607.479949	-1.565175
276.936105	-608.503683	-1.571129
277.334627	-608.903437	-1.562460
276.549547	-608.118914	-1.558939
274.280693	-605.849965	-1.551733
270.717363	-602.284792	-1.554484
266.614149	-598.179318	-1.541896
263.053531	-594.616084	-1.544229
260.895934	-592.458193	-1.535757
260.275074	-591.838043	-1.534155
260.686338	-592.251531	-1.528614
261.510315	-593.075932	-1.533060
262.395912	-593.961861	-1.525913
263.343801	-594.908543	-1.530170
264.674034	-596.237001	-1.548388
266.761421	-598.324743	-1.549363
269.643287	-601.207070	-1.551544
272.784560	-604.350966	-1.554539
275.284309	-606.853175	-1.560484
276.417999	-607.987173	-1.570379
276.067646	-607.635975	-1.567614
274.707012	-606.274327	-1.568559
272.883199	-604.450007	-1.568736
270.713344	-602.280863	-1.533131
267.932282	-599.500901	-1.533779
264.478136	-596.044212	-1.547669
260.996769	-592.560403	-1.542056
