N 125, L 5.386087, rho 0.8
Ecin	Epot	H
287.949041	-568.982415	-1.588510
287.018705	-568.052257	-1.574481
285.135955	-566.169288	-1.576316
282.373658	-563.406461	-1.569497
278.950325	-559.982704	-1.555769
275.226950	-556.258141	-1.533616
271.552575	-552.583982	-1.519823
268.048611	-549.080222	-1.520466
264.535162	-545.568407	-1.530593
260.691036	-541.724558	-1.528097
256.281171	-537.315498	-1.509249
251.312249	-532.345898	-1.504951
246.027370	-527.060143	-1.491054
240.809523	-521.841638	-1.477496
236.080320	-517.110959	-1.454303
232.235057	-513.266069	-1.469717
229.608125	-510.637818	-1.472246
228.448359	-509.477764	-1.471772
228.923957	-509.953169	-1.471879
231.093939	-512.123161	-1.454150
234.855730	-515.885794	-1.464579
239.891891	-520.923592	-1.485039
245.674657	-526.707208	-1.499786
251.574994	-532.608987	-1.511029
257.012685	-538.048396	-1.529989
261.588050	-542.624428	-1.540643
265.129934	-546.165388	-1.532541
267.700979	-548.735847	-1.552290
269.548822	-550.582852	-1.568790
271.008741	-552.041893	-1.558178
272.362020	-553.394535	-1.552543
273.734781	-554.767385	-1.558240
275.090116	-556.123083	-1.579610
276.300988	-557.334198	-1.569124
277.228064	-558.261623	-1.575427
277.761543	-558.795677	-1.572941
277.830519	-558.864471	-1.560881
277.381523	-558.415864	-1.574353
276.357484	-557.392001	-1.580092
274.705695	-555.740325	-1.585340
272.437004	-553.471698	-1.571360
269.703996	-550.737325	-1.568207
266.855726	-547.888048	-1.563695
264.362626	-545.393628	-1.572727
262.601989	-543.633219	-1.568524
261.616747	-542.648978	-1.550864
261.046861	-542.081341	-1.539563
260.256463	-541.292936	-1.533735
258.638108	-539.674918	-1.544549
256.082305	-537.117178	-1.551825
253.535315	-534.565404	-1.534781
252.858258	-533.885454	-1.521189
255.207416	-536.236514	-1.520215
259.708878	-540.742763	-1.523577
264.548097	-545.585281	-1.511365
268.552517	-549.589458	-1.546396
271.479206	-552.514268	-1.557991
273.657940	-554.692092	-1.556385
275.578797	-556.611252	-1.562363
277.478135	-558.511757	-1.552729
279.083882	-560.118949	-1.546581
279.768650	-560.804663	-1.544181
278.993408	-560.030436	-1.545595
276.647906	-557.683185	-1.551692
273.112483	-554.145639	-1.572707
269.067820	-550.099728	-1.566101
265.130154	-546.161485	-1.547781
261.563596	-542.595553	-1.542774
258.334217	-539.365979	-1.541572
255.451450	-536.482865	-1.537756
253.189829	-534.220289	-1.523169
251.956916	-532.986605	-1.516922
251.919298	-532.949448	-1.516047
252.810627	-533.842162	-1.538358
254.134589	-535.167168	-1.529419
255.528898	-536.561539	-1.540555
256.960942	-537.992727	-1.537909
258.614189	-539.645245	-1.546835
260.601071	-541.632084	-1.529525
262.839894	-543.871656	-1.541985
265.157172	-546.188834	-1.531913
267.400152	-548.432223	-1.542140
269.417029	-550.449298	-1.562325
271.019070	-552.052151	-1.564236
272.017297	-553.050637	-1.539112
272.300202	-553.333228	-1.565621
271.868051	-552.900638	-1.562653
270.821896	-551.854320	-1.545991
269.336865	-550.368252	-1.547604
267.618705	-548.650080	-1.540541
265.847557	-546.878876	-1.526420
264.121217	-545.152215	-1.538610
262.450612	-543.481901	-1.526076
260.805555	-541.836896	-1.516182
259.166893	-540.198482	-1.536597
257.530127	-538.561862	-1.538231
255.867824	-536.900256	-1.519462
254.093740	-535.126473	-1.512858
252.083150	-533.115957	-1.510600
249.712983	-530.746143	-1.517145
